condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,association_id,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data,key_data_length,protected_flag,ccmp_packet_number,ccmp_key_id,wireshark_protocol,wireshark_info,interpretation
WPA2-Personal-PSK,2390,26.441410574,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000054,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2392,26.441414873,2437,Protected Frame,2,0,0x0020,b2:86:9a:49:e9:da,01:00:5e:00:00:16,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000003A,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2393,26.441416095,2437,Protected Frame,2,0,0x0020,b2:86:9a:49:e9:da,01:00:5e:00:00:16,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000003B,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2396,26.441418101,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007E,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2400,26.441420928,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007F,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2404,26.441423065,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000080,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2408,26.441425097,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000055,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2412,26.441427725,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000081,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2416,26.441432383,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000082,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2420,26.441436251,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000056,,,,Protected CCMP frame after key establishment.
